net_dim,agents,iters,threshold-mean,threshold-var,active
50,1969,200,0.2,0.1,145
50,2006,200,0.2,0.1,2001
50,1980,200,0.2,0.1,67
50,1981,200,0.2,0.1,188
50,1977,200,0.2,0.1,38
50,1978,200,0.2,0.1,710
50,2018,200,0.2,0.1,63
50,2001,200,0.2,0.1,137
50,2010,200,0.2,0.1,54
50,2005,200,0.2,0.1,84
50,1982,200,0.2,0.1,74
50,2000,200,0.2,0.1,90
50,2004,200,0.2,0.1,239
50,2010,200,0.2,0.1,673
50,2001,200,0.2,0.1,1995
50,2035,200,0.2,0.1,317
50,1951,200,0.2,0.1,72
50,1985,200,0.2,0.1,157
50,2009,200,0.2,0.1,149
50,1963,200,0.2,0.1,89
50,1997,200,0.2,0.1,92
50,1972,200,0.2,0.1,1882
50,1986,200,0.2,0.1,1270
50,1995,200,0.2,0.1,103
50,1995,200,0.2,0.1,705
50,2007,200,0.205,0.1,42
50,2013,200,0.205,0.1,351
50,2003,200,0.205,0.1,274
50,2010,200,0.205,0.1,64
50,2036,200,0.205,0.1,80
50,2035,200,0.205,0.1,284
50,2027,200,0.205,0.1,110
50,2039,200,0.205,0.1,168
50,2000,200,0.205,0.1,641
50,2016,200,0.205,0.1,180
50,1999,200,0.205,0.1,1992
50,2009,200,0.205,0.1,155
50,2016,200,0.205,0.1,270
50,2047,200,0.205,0.1,89
50,1967,200,0.205,0.1,274
50,1987,200,0.205,0.1,54
50,1975,200,0.205,0.1,96
50,2020,200,0.205,0.1,72
50,2007,200,0.205,0.1,221
50,2013,200,0.205,0.1,399
50,2002,200,0.205,0.1,40
50,2002,200,0.205,0.1,64
50,1971,200,0.205,0.1,97
50,2002,200,0.205,0.1,223
50,2007,200,0.205,0.1,262
50,2026,200,0.205,0.1,94
50,2028,200,0.205,0.1,87
50,1986,200,0.205,0.1,66
50,2037,200,0.205,0.1,62
50,1989,200,0.205,0.1,80
50,1996,200,0.21,0.1,107
50,2006,200,0.21,0.1,84
50,1996,200,0.21,0.1,78
50,1991,200,0.21,0.1,113
50,1995,200,0.21,0.1,106
50,2045,200,0.21,0.1,72
50,1995,200,0.21,0.1,151
50,1971,200,0.21,0.1,298
50,1986,200,0.21,0.1,75
50,2021,200,0.21,0.1,63
50,1998,200,0.21,0.1,85
50,2045,200,0.21,0.1,63
50,2015,200,0.21,0.1,38
50,1975,200,0.21,0.1,96
