net_dim,agents,iters,threshold-mean,threshold-var,active
50,1993,150,0.25,0.1,49
50,1992,150,0.25,0.1,87
50,2009,150,0.3,0.1,13
50,2006,150,0.3,0.1,11
50,2019,150,0.3,0.1,19
50,2014,150,0.3,0.1,14
50,2010,150,0.3,0.1,16
50,2028,150,0.3,0.1,11
50,1972,150,0.3,0.1,12
50,1965,150,0.3,0.1,16
50,2002,150,0.3,0.1,11
50,2018,150,0.3,0.1,28
50,2036,150,0.3,0.1,13
50,1970,150,0.3,0.1,20
50,1991,150,0.3,0.1,22
50,2001,150,0.3,0.1,27
50,1999,150,0.3,0.1,13
50,1995,150,0.3,0.1,27
50,1996,150,0.3,0.1,12
50,2022,150,0.3,0.1,13
50,1992,150,0.3,0.1,11
50,2004,150,0.3,0.1,14
